"Employee_name","Employee_salary","salary_adjustment","total_salaries","employee_raise"
"Employee 1",41785.3268794715,-2084.89409182221,39700.4327876493,FALSE
"Employee 2",48806.8434782326,-1515.65266540274,47291.1908128299,FALSE
"Employee 3",47254.1716322303,2958.02476117387,50212.1963934042,TRUE
"Employee 4",40548.9411996678,5329.60406271741,45878.5452623852,TRUE
"Employee 5",40613.5705113411,5854.00964831933,46467.5801596604,TRUE
"Employee 6",45208.0151601695,-3376.940053422,41831.0751067474,FALSE
"Employee 7",46275.1086684875,1538.77895907499,47813.8876275625,TRUE
"Employee 8",40926.5336277895,-3720.64025839791,37205.8933693916,FALSE
"Employee 9",48458.2114499062,-2690.10818796232,45768.1032619439,FALSE
"Employee 10",40909.7186196595,5647.87188661285,46557.5905062724,TRUE
"Employee 11",45909.0636670589,-4501.96333345957,41407.1003335994,FALSE
"Employee 12",49407.5583922677,5987.95626079664,55395.5146530643,TRUE
"Employee 13",41140.9527109936,-3794.20102457516,37346.7516864184,FALSE
"Employee 14",41875.2455129288,-14.3485586158931,41860.8969543129,FALSE
"Employee 15",43084.8140176386,6660.63015931286,49745.4441769514,TRUE
"Employee 16",49341.3692782633,8859.53373042867,58200.903008692,TRUE
"Employee 17",44981.3974346034,5056.16566399112,50037.5630985945,TRUE
"Employee 18",40538.7530848384,-761.366466758773,39777.3866180796,FALSE
"Employee 19",45188.7266221456,-3575.82349097356,41612.9031311721,FALSE
"Employee 20",46407.1562606841,-2112.82718577422,44294.3290749099,FALSE
"Employee 21",43235.0954622962,-181.267318548635,43053.8281437475,FALSE
"Employee 22",41061.2739855424,8200.40298276581,49261.6769683082,TRUE
"Employee 23",41130.0860787742,-1635.36435808055,39494.7217206936,FALSE
"Employee 24",44475.9518792853,5569.27203200758,50045.2239112929,TRUE
"Employee 25",44473.3126554638,4754.00626193732,49227.3189174011,TRUE
"Employee 26",47135.2215716615,3524.7321636416,50659.9537353031,TRUE
"Employee 27",45219.6157653816,1060.05874462426,46279.6745100059,TRUE
"Employee 28",47837.2771153226,2140.96579467878,49978.2429100014,TRUE
"Employee 29",46813.8873064891,9241.33297870867,56055.2202851977,TRUE
"Employee 30",48127.6332424022,5274.6864547953,53402.3196971975,TRUE
"Employee 31",46676.2757557444,-2147.35248242505,44528.9232733194,FALSE
"Employee 32",42972.8934424929,8138.31385690719,51111.2072994001,TRUE
"Employee 33",42542.6837615669,1528.16744870506,44070.8512102719,TRUE
"Employee 34",48354.178594891,7537.92611300014,55892.1047078911,TRUE
"Employee 35",47102.5330224074,-2280.7465842925,44821.7864381149,FALSE
"Employee 36",42499.4482612237,391.438477672637,42890.8867388964,TRUE
"Employee 37",49026.9664488733,8501.73692801036,57528.7033768836,TRUE
"Employee 38",46918.0350773968,-1117.24246526137,45800.7926121354,FALSE
"Employee 39",46968.9336256124,-1035.60565854423,45933.3279670682,FALSE
"Employee 40",41984.1540278867,385.679820319638,42369.8338482063,TRUE
"Employee 41",46516.1399473436,4741.69462569989,51257.8345730435,TRUE
"Employee 42",43105.1112851128,7537.01060311869,50642.1218882315,TRUE
"Employee 43",40447.3696206696,-3144.8991689831,37302.4704516865,FALSE
"Employee 44",49567.0321537182,5074.62765090168,54641.6598046198,TRUE
"Employee 45",46979.5137597248,7664.599531563,54644.1132912878,TRUE
"Employee 46",46829.758703243,2952.57531572133,49782.3340189643,TRUE
"Employee 47",45375.1193988137,6166.25775001012,51541.3771488238,TRUE
"Employee 48",48131.5985019319,817.407565191388,48949.0060671233,TRUE
"Employee 49",45062.638905365,7819.93128126487,52882.5701866299,TRUE
"Employee 50",40681.2996859662,-6.72931433655322,40674.5703716297,FALSE
"Employee 51",48311.6745413281,7527.08053449169,55838.7550758198,TRUE
"Employee 52",44417.549110949,6132.20687257126,50549.7559835203,TRUE
"Employee 53",46414.6520756185,-173.979375977069,46240.6726996414,FALSE
"Employee 54",48135.7884407043,269.074845127761,48404.8632858321,TRUE
"Employee 55",49953.3410090953,4442.17458716594,54395.5155962612,TRUE
"Employee 56",46721.5944523923,-1932.94605356641,44788.6483988259,FALSE
"Employee 57",44590.7579921186,571.458679623902,45162.2166717425,TRUE
"Employee 58",43280.0979865715,9427.71026748233,52707.8082540538,TRUE
"Employee 59",44354.3410487473,7606.38345615007,51960.7245048974,TRUE
"Employee 60",40072.9517871514,8874.49212372303,48947.4439108744,TRUE
"Employee 61",43749.3730336428,-1977.26019425318,41772.1128393896,FALSE
